"filename", "language", "JSON", "HTML", "Markdown", "YAML", "Dart", "Shell Script", "Objective-C", "C++", "XML", "Ruby", "Groovy", "Properties", "Java", "Swift", "comment", "blank", "total"
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\lib\dio_http_cache.dart", "Dart", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\lib\src\builder_dio.dart", "Dart", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 69
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\lib\src\core\config.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\lib\src\core\manager.dart", "Dart", 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 124
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\lib\src\core\obj.dart", "Dart", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 47
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\lib\src\core\obj.g.dart", "Dart", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 30
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\lib\src\manager_dio.dart", "Dart", 0, 0, 0, 0, 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 31, 279
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\lib\src\store\store_disk.dart", "Dart", 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20, 195
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\lib\src\store\store_impl.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\lib\src\store\store_memory.dart", "Dart", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 69
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\pubspec.yaml", "YAML", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\shells\cleanpub.sh", "Shell Script", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 21
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\shells\json.sh", "Shell Script", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\test\dio_cache_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 1, 14
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\pubspec.yaml", "YAML", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 16, 162
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\web\index.html", "HTML", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 65
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\web\manifest.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 602, 44, 264, 122, 12755, 25, 22, 12, 255, 11, 197, 18, 17, 33, 1794, 1569, 17740
